borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Ealing,www.artistic-spaces.co.uk,52-56 Standard Road,12189460,E09000009,"Park Royal, London ",,,East Acton,E05000175,520314.71980151965,-0.2637877059509797,51.5283049079184,182579.57209543756,Acton and Park Royal,Artists workspaces,11/27/2022
Ealing,www.artistic-spaces.co.uk,Artistic Spaces Ltd,12124954,E09000009,52-56 Standard Road,"Park Royal, London",,,,520388.0001221001,-0.2643587009551926,51.527271664264546,182410.00012210011,Acton and Park Royal,Creative workspaces,11/27/2022
Ealing,https://www.sample-studio.co.uk,Sample Studio,12105583,E09000009,10B Cullen Way,,,East Acton,E05000175,520225.7338746445,-0.26519345904335817,51.52507938938114,182218.6383883588,Acton and Park Royal,Fashion and design,11/27/2022
Ealing,https://en-gb.facebook.com/GoshaLondonLTD/,Gosha London,12133365,E09000009,Suite 52 Park Royal Business Centre,9-17 Park Royal Road,,East Acton,E05000175,520177.7451245052,-0.2658628270717954,51.525673796676834,182283.62457193376,Acton and Park Royal,Fashion and design,11/27/2022
Ealing,www.survivalstudios.co.uk,Survival Studios,12150052,E09000009,Unit B12-B20 Acton Business Centre,School Road,Ealing,East Acton,E05000175,520914.000122197,-0.25685256618204494,51.525235761447654,182196.00012169778,Acton and Park Royal,Music rehearsal studios,11/27/2022
Ealing,www.panic-music.co.uk,Panic Music,0,E09000009,14 Trading Estate Road ,,,East Acton,E05000175,520195.000122197,-0.2671947719519196,51.52586566136011,182249.00012169778,Acton and Park Royal,Music rehearsal studios,11/27/2022
Ealing,http://soundstagestudios.co.uk/,Soundstage Studio,12017372,E09000009,Unit 1 Acorn Centre 30-34,Gorst Road,Ealing,East Acton,E05000175,520523.000122197,-0.26243320942089293,51.52672153846278,182352.00012169778,Acton and Park Royal,Music rehearsal studios,11/27/2022
Ealing,http://www.getsethire.co.uk,Get Set Hire,12008467,E09000009,Unit 5a & 5b Heron Trading Estate,Alliance Road,,East Acton,E05000175,519824.0001221001,-0.27263393294803623,51.52348170339256,181975.00012210011,Acton and Park Royal,Prop and costume making,11/27/2022
Ealing,,Castle,,E09000009,140 Victoria Road,North Acton,London,East Acton,E05000175,520875.0001221001,-0.257535321283152,51.52208022754001,181844.00012210011,Acton and Park Royal,Pubs,11/27/2022
