,hotel_density,hotel_density,hotel_density,hotel_density,hotel_density,hotel_density,hotel_density,hotel_density,airbnb_density,airbnb_density,airbnb_density,airbnb_density,airbnb_density,airbnb_density,airbnb_density,airbnb_density,culture_density,culture_density,culture_density,culture_density,culture_density,culture_density,culture_density,culture_density
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_id,,,,,,,,,,,,,,,,,,,,,,,,
0,38.0,7.778951304197372,11.196534905922386,0.0,0.0,2.7584631063851934,12.312636313937372,56.3960475858962,38.0,612.1330873154229,267.4979395981172,143.0599502523332,439.09534685364224,525.0210899607936,735.5785467210362,1269.9316323431851,38.0,192.3692563919454,78.59605042762425,114.35146030629295,135.93055608675897,167.98673435127785,225.0489871784876,434.72053182637336
1,3827.0,0.21533443935771726,1.2672102446408207,0.0,0.0,0.0,0.0,29.36843928922236,3827.0,35.78631576635128,43.34021751360352,0.0,5.392440271696061,17.434919986461928,50.52894761043006,206.4228037689375,3827.0,3.9721603904564553,6.355656962023357,0.0,0.0,0.0,5.85028519471955,49.52034375165229
2,109.0,14.985881738887777,21.050656571407952,0.0,0.0,7.217110214218647,23.416330198679834,97.01660671835916,109.0,753.542573147671,306.88468301801413,254.6685926356928,572.0635486115494,634.3896888493372,829.9676746351445,2412.8805840299874,109.0,40.602865687764854,33.13879541034528,0.0,12.971056470660672,34.43472601197757,61.140264352906506,117.04645598387032
3,17.0,132.42299784752973,46.637772517718666,64.85931443812241,103.60648298365317,120.34682742472398,182.59914946798432,208.16436700957647,17.0,1319.5203717117836,524.6166828498964,498.16468822077513,953.2164135869624,1289.5110551610228,1543.995630310301,2365.6924304773866,17.0,31.398722600252547,21.143048690793194,0.0,16.33326846625492,35.442324359875734,45.00408676501268,60.43711507379768
4,774.0,1.28346146433119,3.92852010753594,0.0,0.0,0.0,0.0,32.01950948292732,774.0,262.41944540709244,102.08741866568309,35.42540752022256,192.16998848337354,251.25326764652544,327.6521068238105,541.9535906225799,774.0,30.73004245958404,24.397706504209356,0.0,12.863687761167032,25.87626050960153,43.461274808059585,120.39541261935659
